LOG   [accumulate] Accumulating service 0, transfers: 0 operands: 1 at slot: 2
INSANE [     pvm] [PC: 5] JUMP
INSANE [     pvm] [PC: 74653] ADD_IMM_64
INSANE [     pvm] [PC: 74657] STORE_IND_U64
INSANE [     pvm] [PC: 74661] STORE_IND_U64
INSANE [     pvm] [PC: 74665] STORE_IND_U64
INSANE [     pvm] [PC: 74669] MOVE_REG
INSANE [     pvm] [PC: 74671] MOVE_REG
INSANE [     pvm] [PC: 74673] LOAD_IMM_JUMP
INSANE [     pvm] [PC: 97585] ADD_IMM_64
INSANE [     pvm] [PC: 97589] STORE_IND_U64
INSANE [     pvm] [PC: 97593] STORE_IND_U64
INSANE [     pvm] [PC: 97597] STORE_IND_U64
INSANE [     pvm] [PC: 97601] STORE_IMM_IND_U64
INSANE [     pvm] [PC: 97605] ADD_IMM_64
INSANE [     pvm] [PC: 97609] ADD_IMM_64
INSANE [     pvm] [PC: 97613] LOAD_IMM_JUMP
INSANE [     pvm] [PC: 93458] ADD_IMM_64
INSANE [     pvm] [PC: 93461] STORE_IND_U64
INSANE [     pvm] [PC: 93464] STORE_IND_U64
INSANE [     pvm] [PC: 93467] STORE_IND_U64
INSANE [     pvm] [PC: 93470] STORE_IND_U64
INSANE [     pvm] [PC: 93473] LOAD_IND_U64
INSANE [     pvm] [PC: 93475] LOAD_IND_U64
INSANE [     pvm] [PC: 93478] LOAD_IND_U64
INSANE [     pvm] [PC: 93481] LOAD_IMM
INSANE [     pvm] [PC: 93483] SHLO_R_IMM_ALT_64
INSANE [     pvm] [PC: 93487] AND_IMM
INSANE [     pvm] [PC: 93490] LOAD_IMM
INSANE [     pvm] [PC: 93492] BRANCH_NE_IMM
INSANE [     pvm] [PC: 93515] STORE_IND_U64
INSANE [     pvm] [PC: 93518] STORE_IND_U64
INSANE [     pvm] [PC: 93521] LOAD_IMM
INSANE [     pvm] [PC: 93524] LOAD_IMM
INSANE [     pvm] [PC: 93526] LOAD_IMM
INSANE [     pvm] [PC: 93528] LOAD_IMM
INSANE [     pvm] [PC: 93530] STORE_IND_U64
INSANE [     pvm] [PC: 93533] LOAD_IMM
INSANE [     pvm] [PC: 93537] ECALLI
INSANE [     pvm] [PC: 93537] Status: HOST
TRACE [host-calls] [0] FETCH(0) <- 0x0a000000000000000100000000000000...00c0000080000000000c00000a000000 (134 bytes)
INSANE [     pvm] [PC: 93539] FALLTHROUGH
INSANE [     pvm] [PC: 93540] MOVE_REG
INSANE [     pvm] [PC: 93542] BRANCH_GE_U
